City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
128,Rio Grande,11,BR,1603154988,81,-32.03,-52.1,67.33,7.65
129,Bluff,54,NZ,1603154988,89,-46.6,168.33,50.0,11.99
130,Saint-Joseph,17,RE,1603154989,60,-21.37,55.62,69.8,4.7
131,Aykhal,90,RU,1603155087,92,66.0,111.5,17.6,7.05
132,Marsh Harbour,100,BS,1603154752,77,26.54,-77.06,80.94,20.92
133,Mahébourg,40,MU,1603154989,78,-20.41,57.7,73.4,9.17
134,Labuhan,60,ID,1603154990,70,-6.88,112.21,82.85,7.65
135,Ayan,0,RU,1603154990,78,56.45,138.17,30.65,12.62
136,‘Āhuimanu,40,US,1603154990,70,21.44,-157.84,84.2,8.05
137,Tuktoyaktuk,90,CA,1603154990,92,69.45,-133.04,23.0,13.87
138,Batagay,100,RU,1603154991,94,67.63,134.63,11.68,4.12
139,Kibre Mengist,45,ET,1603154991,94,5.88,38.98,56.08,1.61
140,Zyryanka,100,RU,1603154991,96,65.75,150.85,19.33,7.78
141,Ketchikan,90,US,1603154991,93,55.34,-131.65,48.2,19.46
142,Hanzhong,100,CN,1603154991,80,33.07,107.03,55.76,2.73
143,Lompoc,1,US,1603155124,82,34.64,-120.46,63.0,13.87
144,Whyalla,100,AU,1603155125,68,-33.03,137.58,66.2,5.82
145,Celendín,100,PE,1603154992,75,-6.87,-78.15,58.78,1.9
146,Ganzhou,52,CN,1603154992,71,28.82,115.43,63.07,4.79
147,Sidi Ali,0,DZ,1603154992,41,36.1,0.42,68.45,4.54
148,Hofn,0,IS,1603155241,74,64.25,-15.21,38.32,12.88
149,Stornoway,100,GB,1603154993,93,58.21,-6.39,51.8,9.17
150,Hilo,1,US,1603154876,55,19.73,-155.09,86.0,10.29
151,Beli Manastir,0,HR,1603154993,93,45.77,18.6,45.0,4.7
152,Dunedin,93,NZ,1603154776,57,-45.87,170.5,57.0,15.01
153,Bambous Virieux,40,MU,1603154993,78,-20.34,57.76,73.4,9.17
154,Katunino,90,RU,1603154994,92,64.39,40.63,28.4,6.71
155,Port-Cartier,90,CA,1603155248,100,50.03,-66.87,41.0,3.36
156,Kemijärvi,93,FI,1603154994,98,66.71,27.43,26.42,5.06
157,Ancud,75,CL,1603155127,75,-41.87,-73.82,46.0,5.82
158,Esperance,90,AU,1603154994,100,-33.87,121.9,60.8,9.17
159,Kununurra,2,AU,1603154712,63,-15.77,128.73,91.4,8.05
160,Alekseyevsk,96,RU,1603154995,92,57.84,108.35,26.28,10.85
161,Bhag,0,PK,1603154995,16,29.04,67.82,72.48,9.4
162,Talnakh,90,RU,1603154995,92,69.49,88.4,14.0,4.47
163,Dikson,96,RU,1603154995,95,73.51,80.55,23.97,17.27
164,Dali,100,CN,1603154996,90,25.7,100.18,57.43,4.29
165,Rockport,20,US,1603154996,88,28.02,-97.05,80.01,12.75
166,Dwārka,61,IN,1603154996,80,22.24,68.97,83.43,8.97
167,Fare,18,PF,1603154996,77,-16.7,-151.02,79.9,17.81
168,Inyonga,100,TZ,1603154996,47,-6.72,32.07,74.1,5.08
169,Nanortalik,100,GL,1603154996,87,60.14,-45.24,37.56,7.61
170,Marang,20,MY,1603154739,88,5.21,103.21,80.6,2.24
171,Qaqortoq,100,GL,1603154997,90,60.72,-46.03,33.8,2.24
172,Tuatapere,85,NZ,1603154997,89,-46.13,167.68,50.0,11.99
173,Bethel,40,US,1603155125,87,41.37,-73.41,55.99,4.65
174,Marietta,20,US,1603154997,77,33.95,-84.55,69.8,6.02
175,Mount Isa,0,AU,1603155130,12,-20.73,139.5,93.2,9.17
176,Mata,100,PT,1603154998,95,40.68,-7.46,59.0,1.95
177,Rome,90,US,1603155252,93,43.21,-75.46,53.6,5.82
178,Jamestown,90,US,1603154998,100,42.1,-79.24,51.01,6.93
179,Terrace Bay,95,CA,1603154998,89,48.78,-87.1,32.67,7.72
180,Gongzhuling,0,CN,1603154998,53,43.5,124.82,58.19,18.61
181,Coronado,40,US,1603154999,68,32.69,-117.18,73.99,10.29
182,Palekastro,14,GR,1603154999,76,35.2,26.25,69.01,5.99
183,Tramandaí,0,BR,1603154999,91,-29.98,-50.13,67.71,13.78
184,Bilma,0,NE,1603154999,17,18.69,12.92,77.99,3.69
185,Rudnya,16,RU,1603154999,88,54.95,31.09,36.18,13.49
186,Khorixas,1,NA,1603155000,30,-20.37,14.97,63.72,7.18
187,Maniitsoq,100,GL,1603155000,86,65.42,-52.9,37.92,21.23
188,Sabha,0,LY,1603154722,65,27.04,14.43,67.66,20.56
189,Alappuzha,98,IN,1603155000,85,9.49,76.33,77.56,3.11
190,Manokwari,100,ID,1603154948,74,-0.87,134.08,84.07,10.31
191,Antalaha,87,MG,1603155001,77,-14.9,50.28,73.47,8.48
192,Gorom-Gorom,0,BF,1603155002,26,14.44,-0.24,89.89,5.46
193,Bela,17,IN,1603155002,53,25.93,81.98,73.15,4.14
194,Kastamonu Province,100,TR,1603155002,86,41.5,33.67,47.77,1.88
195,Arraial do Cabo,100,BR,1603154897,82,-22.97,-42.03,72.46,23.89
196,Štětí,98,CZ,1603155002,80,50.45,14.37,41.0,4.0
197,Kaitangata,87,NZ,1603155003,51,-46.28,169.85,54.45,10.54
198,Yellowknife,75,CA,1603155134,73,62.46,-114.35,27.0,2.24
199,Salalah,75,OM,1603155003,51,17.02,54.09,80.6,3.36
200,Vendôme,100,FR,1603155003,93,47.8,1.07,50.0,5.82
201,São Filipe,24,CV,1603155135,69,14.9,-24.5,82.51,3.15
202,Westport,1,US,1603154521,77,41.14,-73.36,60.8,11.41
203,Mana,0,GF,1603155004,84,5.66,-53.78,80.17,10.04
204,Mizur,87,RU,1603155004,76,42.85,44.05,57.2,2.24
205,Upernavik,100,GL,1603155004,93,72.79,-56.15,32.81,8.03
206,Katobu,100,ID,1603155005,51,-4.94,122.53,86.92,4.59
207,Altus,90,US,1603155005,55,34.64,-99.33,60.8,5.82
208,Tahe,100,CN,1603155005,81,52.33,124.73,36.73,2.68
209,Bengkulu,100,ID,1603155258,79,-3.8,102.27,78.58,4.83
210,Dangtu,0,CN,1603155005,93,31.57,118.49,57.2,2.24
211,Kalabo,0,ZM,1603155006,22,-14.97,22.68,69.26,4.25
212,Kingaroy,75,AU,1603155006,47,-26.53,151.83,75.2,8.05
213,Lagoa,0,PT,1603154816,69,39.05,-27.98,63.72,28.45
214,Tessalit,0,ML,1603154720,17,20.2,1.01,79.65,7.67
215,Mossamedes,4,AO,1603154844,84,-15.2,12.15,66.81,3.87
216,Atar,0,MR,1603155223,25,20.52,-13.05,84.9,7.31
217,Borazjan,0,IR,1603155007,56,29.27,51.22,63.66,0.58
218,Manggar,83,ID,1603154718,71,-2.88,108.27,83.39,5.75
219,Naze,75,JP,1603155193,78,28.37,129.48,78.8,19.46
220,Oranjemund,3,NA,1603155007,87,-28.55,16.43,56.91,11.77
221,Hobyo,0,SO,1603155007,78,5.35,48.53,79.54,14.72
222,Saint Anthony,90,US,1603154702,80,45.02,-93.22,34.0,4.7
223,Coahuayana Viejo,75,MX,1603155139,83,18.73,-103.68,78.8,9.17
224,Tura,11,IN,1603155008,89,25.52,90.22,73.4,3.31
225,Vaitape,15,PF,1603155008,78,-16.52,-151.75,79.83,19.55
226,Marabu,20,MY,1603155008,88,4.41,114.01,78.8,6.93
227,Coquimbo,0,CL,1603155060,82,-29.95,-71.34,55.4,3.36
228,Paka,40,MY,1603155009,94,4.64,103.44,77.0,1.12
229,Lorengau,100,PG,1603155140,63,-2.02,147.27,86.25,3.6
230,Souillac,40,MU,1603155007,78,-20.52,57.52,73.4,9.17
231,Cayenne,13,GF,1603155141,83,4.93,-52.33,80.6,4.7
232,Nueva Granada,100,CO,1603155010,90,9.8,-74.39,76.41,1.48
233,Monrovia,80,LR,1603155010,86,6.3,-10.8,78.31,9.55
234,Kirakira,18,SB,1603155010,74,-10.45,161.92,84.42,10.0
235,Nikolayevsk-on-Amur,0,RU,1603155010,68,53.14,140.73,33.76,11.07
236,Knyaze-Volkonskoye,0,RU,1603155010,38,48.46,135.46,39.2,15.66
237,Broome,90,US,1603155142,93,42.25,-75.83,55.99,8.05
238,Kawalu,66,ID,1603155011,75,-7.38,108.21,79.84,2.3
239,Lebu,4,CL,1603155011,75,-37.62,-73.65,49.93,14.88
240,Abhar,0,IR,1603155011,34,36.15,49.22,52.43,4.16
241,Umluj,0,SA,1603155072,40,25.02,37.27,81.81,6.44
242,Itarema,0,BR,1603155264,80,-2.92,-39.92,79.07,18.01
243,Nome,90,US,1603154899,93,64.5,-165.41,39.0,4.7
244,Folldal,100,NO,1603155012,89,62.13,10.0,25.27,5.61
245,Udachny,90,RU,1603155012,92,66.42,112.4,17.6,1.79
246,Peniche,100,PT,1603155265,93,39.36,-9.38,64.0,7.0
247,Skegness,100,GB,1603155012,81,53.14,0.34,53.01,18.01
248,Kavieng,100,PG,1603155144,70,-2.57,150.8,83.86,2.98
249,Alihe,100,CN,1603154778,74,50.57,123.72,39.33,4.09
250,Santander,100,ES,1603154950,49,43.46,-3.8,71.01,11.41
251,Zhezkazgan,0,KZ,1603155013,55,47.8,67.71,43.48,7.23
252,Sitka,90,US,1603155017,81,57.05,-135.33,44.6,6.93
253,Cody,90,US,1603155013,93,44.53,-109.06,44.01,5.82
254,Te Anau,7,NZ,1603155006,49,-45.42,167.72,54.93,4.43
255,Narsaq,100,GL,1603155145,82,60.92,-46.05,33.8,2.24
256,Ecoporanga,100,BR,1603155014,81,-18.37,-40.83,70.3,4.32
257,Ust'-Omchug,96,RU,1603155015,89,61.15,149.63,16.88,6.55
258,Todos Santos,0,MX,1603154766,72,23.45,-110.22,84.0,1.01
